Aging,Times,Bad
0,1,238
0,2,397
0,3,1562
0,4,5933
0,5,6805
0,6,7411
0,7,7755
0,8,8126
0,9,8313
0,10,8536
0,11,8566
0,12,8551
0,13,8326
0,14,8182
0,15,8023
0,16,7811
0,17,7571
0,18,7256
0,19,7000
0,20,6695
0,21,6398
0,22,6100
0,23,5780
0,24,5542
0,25,5263
0,26,5015
0,27,4788
0,28,4571
0,29,4312
0,30,4042
0,31,3733
0,32,3581
0,33,3375
0,34,3154
0,35,2981
0,36,2798
0,37,2604
0,38,2439
0,39,2224
0,40,2034
0,41,1882
0,42,1730
0,43,1584
0,44,1480
0,45,1377
0,46,1239
0,47,1139
0,48,1010
0,49,924
0,50,819
0,51,727
0,52,656
0,53,604
0,54,547
0,55,497
0,56,443
0,57,384
0,58,333
0,59,294
0,60,234
1,1,183
1,2,2308
1,3,9585
1,4,7203
1,5,6681
1,6,6324
1,7,6205
1,8,5787
1,9,5432
1,10,5139
1,11,4884
1,12,4651
1,13,4350
1,14,3956
1,15,3688
1,16,3429
1,17,3171
1,18,2955
1,19,2736
1,20,2568
1,21,2343
1,22,2224
1,23,2109
1,24,1951
1,25,1841
1,26,1677
1,27,1515
1,28,1399
1,29,1309
1,30,1218
1,31,1158
1,32,1009
1,33,947
1,34,856
1,35,801
1,36,725
1,37,678
1,38,626
1,39,594
1,40,535
1,41,449
1,42,419
1,43,370
1,44,333
1,45,300
1,46,275
1,47,231
1,48,224
1,49,196
1,50,182
1,51,170
1,52,145
1,53,134
1,54,117
1,55,106
1,56,83
1,57,74
1,58,69
1,59,53
1,60,42
2,1,2998
2,2,14826
2,3,7710
2,4,6417
2,5,5716
2,6,5249
2,7,4575
2,8,4156
2,9,3795
2,10,3476
2,11,3169
2,12,2909
2,13,2635
2,14,2388
2,15,2099
2,16,1958
2,17,1730
2,18,1600
2,19,1454
2,20,1362
2,21,1301
2,22,1166
2,23,1094
2,24,974
2,25,897
2,26,818
2,27,761
2,28,707
2,29,619
2,30,604
2,31,542
2,32,493
2,33,460
2,34,444
2,35,394
2,36,379
2,37,334
2,38,283
2,39,267
2,40,240
2,41,230
2,42,210
2,43,178
2,44,169
2,45,147
2,46,129
2,47,106
2,48,99
2,49,91
2,50,73
2,51,65
2,52,53
2,53,48
2,54,48
2,55,41
2,56,38
2,57,34
2,58,32
2,59,29
2,60,27
3,1,18190
3,2,3649
3,3,2299
3,4,1542
3,5,1288
3,6,1016
3,7,827
3,8,644
3,9,567
3,10,528
3,11,436
3,12,373
3,13,317
3,14,276
3,15,257
3,16,218
3,17,219
3,18,170
3,19,179
3,20,150
3,21,125
3,22,126
3,23,82
3,24,85
3,25,80
3,26,77
3,27,71
3,28,59
3,29,76
3,30,48
3,31,51
3,32,56
3,33,50
3,34,34
3,35,33
3,36,23
3,37,23
3,38,27
3,39,26
3,40,23
3,41,17
3,42,11
3,43,22
3,44,9
3,45,10
3,46,7
3,47,11
3,48,7
3,49,5
3,50,4
3,51,12
3,52,9
3,53,6
3,54,6
3,55,5
3,56,3
3,57,2
3,58,2
3,59,2
3,60,2