Segment,Date,NPLRatio,Amount,SegmentName
3.  Total Commercial Banks (1+2),2008-07-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2008-08-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2008-09-30,0.032799999999999996,227950.0,TotalBanks
3.  Total Commercial Banks (1+2),2008-10-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2008-11-30,,,TotalBanks
3.  Total Commercial Banks (1+2),2008-12-31,0.0292,215425.0,TotalBanks
3.  Total Commercial Banks (1+2),2009-01-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2009-02-28,,,TotalBanks
3.  Total Commercial Banks (1+2),2009-03-31,0.0308,228243.0,TotalBanks
3.  Total Commercial Banks (1+2),2009-04-30,,,TotalBanks
3.  Total Commercial Banks (1+2),2009-05-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2009-06-30,0.0305,222909.0,TotalBanks
3.  Total Commercial Banks (1+2),2009-07-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2009-08-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2009-09-30,0.0294,217094.0,TotalBanks
3.  Total Commercial Banks (1+2),2009-10-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2009-11-30,,,TotalBanks
3.  Total Commercial Banks (1+2),2009-12-31,0.026699999999999998,203216.0,TotalBanks
3.  Total Commercial Banks (1+2),2010-01-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2010-02-28,,,TotalBanks
3.  Total Commercial Banks (1+2),2010-03-31,0.025,199433.0,TotalBanks
3.  Total Commercial Banks (1+2),2010-04-30,,,TotalBanks
3.  Total Commercial Banks (1+2),2010-05-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2010-06-30,0.024,188411.0,TotalBanks
3.  Total Commercial Banks (1+2),2010-07-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2010-08-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2010-09-30,0.0226,183003.0,TotalBanks
3.  Total Commercial Banks (1+2),2010-10-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2010-11-30,,,TotalBanks
3.  Total Commercial Banks (1+2),2010-12-31,0.019,163442.0,TotalBanks
3.  Total Commercial Banks (1+2),2011-01-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2011-02-28,,,TotalBanks
3.  Total Commercial Banks (1+2),2011-03-31,0.0174,161671.0,TotalBanks
3.  Total Commercial Banks (1+2),2011-04-30,,,TotalBanks
3.  Total Commercial Banks (1+2),2011-05-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2011-06-30,0.0161,153704.0,TotalBanks
3.  Total Commercial Banks (1+2),2011-07-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2011-08-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2011-09-30,0.014499999999999999,137363.0,TotalBanks
3.  Total Commercial Banks (1+2),2011-10-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2011-11-30,,,TotalBanks
3.  Total Commercial Banks (1+2),2011-12-31,0.0134,129171.0,TotalBanks
3.  Total Commercial Banks (1+2),2012-01-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2012-02-29,,,TotalBanks
3.  Total Commercial Banks (1+2),2012-03-31,0.0131,131346.0,TotalBanks
3.  Total Commercial Banks (1+2),2012-04-30,,,TotalBanks
3.  Total Commercial Banks (1+2),2012-05-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2012-06-30,0.0124,127848.0,TotalBanks
3.  Total Commercial Banks (1+2),2012-07-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2012-08-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2012-09-30,0.0116,124348.0,TotalBanks
3.  Total Commercial Banks (1+2),2012-10-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2012-11-30,,,TotalBanks
3.  Total Commercial Banks (1+2),2012-12-31,0.01,111899.0,TotalBanks
3.  Total Commercial Banks (1+2),2013-01-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2013-02-28,,,TotalBanks
3.  Total Commercial Banks (1+2),2013-03-31,0.0096,112018.0,TotalBanks
3.  Total Commercial Banks (1+2),2013-04-30,,,TotalBanks
3.  Total Commercial Banks (1+2),2013-05-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2013-06-30,0.01,118097.0,TotalBanks
3.  Total Commercial Banks (1+2),2013-07-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2013-08-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2013-09-30,0.0102,121203.0,TotalBanks
3.  Total Commercial Banks (1+2),2013-10-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2013-11-30,,,TotalBanks
3.  Total Commercial Banks (1+2),2013-12-31,0.0101,123375.0,TotalBanks
3.  Total Commercial Banks (1+2),2014-01-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2014-02-28,,,TotalBanks
3.  Total Commercial Banks (1+2),2014-03-31,0.010700000000000001,131739.0,TotalBanks
3.  Total Commercial Banks (1+2),2014-04-30,,,TotalBanks
3.  Total Commercial Banks (1+2),2014-05-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2014-06-30,0.0109,134285.0,TotalBanks
3.  Total Commercial Banks (1+2),2014-07-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2014-08-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2014-09-30,0.011699999999999999,145539.0,TotalBanks
3.  Total Commercial Banks (1+2),2014-10-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2014-11-30,,,TotalBanks
3.  Total Commercial Banks (1+2),2014-12-31,0.0108,137058.0,TotalBanks
3.  Total Commercial Banks (1+2),2015-01-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2015-02-28,,,TotalBanks
3.  Total Commercial Banks (1+2),2015-03-31,0.0115,148176.0,TotalBanks
3.  Total Commercial Banks (1+2),2015-04-30,,,TotalBanks
3.  Total Commercial Banks (1+2),2015-05-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2015-06-30,0.0118,152797.0,TotalBanks
3.  Total Commercial Banks (1+2),2015-07-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2015-08-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2015-09-30,0.0127,161740.0,TotalBanks
3.  Total Commercial Banks (1+2),2015-10-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2015-11-30,,,TotalBanks
3.  Total Commercial Banks (1+2),2015-12-31,0.0121,157134.0,TotalBanks
3.  Total Commercial Banks (1+2),2016-01-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2016-02-29,,,TotalBanks
3.  Total Commercial Banks (1+2),2016-03-31,0.0124,165412.0,TotalBanks
3.  Total Commercial Banks (1+2),2016-04-30,,,TotalBanks
3.  Total Commercial Banks (1+2),2016-05-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2016-06-30,0.0129,174822.0,TotalBanks
3.  Total Commercial Banks (1+2),2016-07-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2016-08-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2016-09-30,0.0137,183589.0,TotalBanks
3.  Total Commercial Banks (1+2),2016-10-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2016-11-30,,,TotalBanks
3.  Total Commercial Banks (1+2),2016-12-31,0.0132,177557.0,TotalBanks
3.  Total Commercial Banks (1+2),2017-01-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2017-02-28,,,TotalBanks
3.  Total Commercial Banks (1+2),2017-03-31,0.0138,186389.0,TotalBanks
3.  Total Commercial Banks (1+2),2017-04-30,,,TotalBanks
3.  Total Commercial Banks (1+2),2017-05-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2017-06-30,0.013600000000000001,189078.0,TotalBanks
3.  Total Commercial Banks (1+2),2017-07-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2017-08-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2017-09-30,0.013999999999999999,198201.0,TotalBanks
3.  Total Commercial Banks (1+2),2017-10-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2017-11-30,,,TotalBanks
3.  Total Commercial Banks (1+2),2017-12-31,0.0138,199813.0,TotalBanks
3.  Total Commercial Banks (1+2),2018-01-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2018-02-28,,,TotalBanks
3.  Total Commercial Banks (1+2),2018-03-31,0.0139,208410.0,TotalBanks
3.  Total Commercial Banks (1+2),2018-04-30,,,TotalBanks
3.  Total Commercial Banks (1+2),2018-05-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2018-06-30,0.014199999999999999,210586.0,TotalBanks
3.  Total Commercial Banks (1+2),2018-07-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2018-08-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2018-09-30,0.0143,211996.0,TotalBanks
3.  Total Commercial Banks (1+2),2018-10-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2018-11-30,,,TotalBanks
3.  Total Commercial Banks (1+2),2018-12-31,0.013999999999999999,207862.0,TotalBanks
3.  Total Commercial Banks (1+2),2019-01-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2019-02-28,,,TotalBanks
3.  Total Commercial Banks (1+2),2019-03-31,0.0141,214159.0,TotalBanks
3.  Total Commercial Banks (1+2),2019-04-30,,,TotalBanks
3.  Total Commercial Banks (1+2),2019-05-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2019-06-30,0.014499999999999999,217372.0,TotalBanks
3.  Total Commercial Banks (1+2),2019-07-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2019-08-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2019-09-30,0.0149,228031.0,TotalBanks
3.  Total Commercial Banks (1+2),2019-10-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2019-11-30,,,TotalBanks
3.  Total Commercial Banks (1+2),2019-12-31,0.0152,234020.0,TotalBanks
4.  Finance Companies 3/,2006-12-31,0.040999999999999995,2258.0,FinComps
4.  Finance Companies 3/,2007-01-31,0.040999999999999995,2258.0,FinComps
4.  Finance Companies 3/,2007-02-28,0.040999999999999995,2258.0,FinComps
4.  Finance Companies 3/,2007-03-31,0.0518,1851.0,FinComps
4.  Finance Companies 3/,2007-04-30,0.0518,1851.0,FinComps
4.  Finance Companies 3/,2007-05-31,0.0518,1851.0,FinComps
4.  Finance Companies 3/,2007-06-30,0.0613,1960.0,FinComps
4.  Finance Companies 3/,2007-07-31,0.0613,1960.0,FinComps
4.  Finance Companies 3/,2007-08-31,,,FinComps
4.  Finance Companies 3/,2007-09-30,0.062,1985.0,FinComps
4.  Finance Companies 3/,2007-10-31,,,FinComps
4.  Finance Companies 3/,2007-11-30,,,FinComps
4.  Finance Companies 3/,2007-12-31,0.0604,1881.0,FinComps
4.  Finance Companies 3/,2008-01-31,,,FinComps
4.  Finance Companies 3/,2008-02-29,,,FinComps
4.  Finance Companies 3/,2008-03-31,0.049100000000000005,1928.0,FinComps
4.  Finance Companies 3/,2008-04-30,,,FinComps
4.  Finance Companies 3/,2008-05-31,,,FinComps
4.  Finance Companies 3/,2008-06-30,0.050199999999999995,1865.0,FinComps
4.  Finance Companies 3/,2008-07-31,,,FinComps
4.  Finance Companies 3/,2008-08-31,,,FinComps
4.  Finance Companies 3/,2008-09-30,0.048600000000000004,1813.0,FinComps
4.  Finance Companies 3/,2008-10-31,,,FinComps
4.  Finance Companies 3/,2008-11-30,,,FinComps
4.  Finance Companies 3/,2008-12-31,0.0525,1814.0,FinComps
4.  Finance Companies 3/,2009-01-31,,,FinComps
4.  Finance Companies 3/,2009-02-28,,,FinComps
4.  Finance Companies 3/,2009-03-31,0.057800000000000004,1910.0,FinComps
4.  Finance Companies 3/,2009-04-30,,,FinComps
4.  Finance Companies 3/,2009-05-31,,,FinComps
4.  Finance Companies 3/,2009-06-30,0.05,1504.0,FinComps
4.  Finance Companies 3/,2009-07-31,,,FinComps
4.  Finance Companies 3/,2009-08-31,,,FinComps
4.  Finance Companies 3/,2009-09-30,0.0433,1182.0,FinComps
4.  Finance Companies 3/,2009-10-31,,,FinComps
4.  Finance Companies 3/,2009-11-30,,,FinComps
4.  Finance Companies 3/,2009-12-31,0.0688,1841.0,FinComps
4.  Finance Companies 3/,2010-01-31,,,FinComps
4.  Finance Companies 3/,2010-02-28,,,FinComps
4.  Finance Companies 3/,2010-03-31,,,FinComps
4.  Finance Companies 3/,2010-04-30,,,FinComps
4.  Finance Companies 3/,2010-05-31,,,FinComps
4.  Finance Companies 3/,2010-06-30,,,FinComps
4.  Finance Companies 3/,2010-07-31,,,FinComps
4.  Finance Companies 3/,2010-08-31,,,FinComps
4.  Finance Companies 3/,2010-09-30,,,FinComps
4.  Finance Companies 3/,2010-10-31,,,FinComps
4.  Finance Companies 3/,2010-11-30,,,FinComps
4.  Finance Companies 3/,2010-12-31,,,FinComps
4.  Finance Companies 3/,2011-01-31,,,FinComps
4.  Finance Companies 3/,2011-02-28,,,FinComps
4.  Finance Companies 3/,2011-03-31,,,FinComps
4.  Finance Companies 3/,2011-04-30,,,FinComps
4.  Finance Companies 3/,2011-05-31,,,FinComps
4.  Finance Companies 3/,2011-06-30,,,FinComps
4.  Finance Companies 3/,2011-07-31,,,FinComps
4.  Finance Companies 3/,2011-08-31,,,FinComps
4.  Finance Companies 3/,2011-09-30,,,FinComps
4.  Finance Companies 3/,2011-10-31,,,FinComps
4.  Finance Companies 3/,2011-11-30,,,FinComps
4.  Finance Companies 3/,2011-12-31,,,FinComps
4.  Finance Companies 3/,2012-01-31,,,FinComps
4.  Finance Companies 3/,2012-02-29,,,FinComps
4.  Finance Companies 3/,2012-03-31,,,FinComps
4.  Finance Companies 3/,2012-04-30,,,FinComps
4.  Finance Companies 3/,2012-05-31,,,FinComps
4.  Finance Companies 3/,2012-06-30,,,FinComps
4.  Finance Companies 3/,2012-07-31,,,FinComps
4.  Finance Companies 3/,2012-08-31,,,FinComps
4.  Finance Companies 3/,2012-09-30,,,FinComps
4.  Finance Companies 3/,2012-10-31,,,FinComps
4.  Finance Companies 3/,2012-11-30,,,FinComps
4.  Finance Companies 3/,2012-12-31,,,FinComps
4.  Finance Companies 3/,2013-01-31,,,FinComps
4.  Finance Companies 3/,2013-02-28,,,FinComps
4.  Finance Companies 3/,2013-03-31,,,FinComps
4.  Finance Companies 3/,2013-04-30,,,FinComps
4.  Finance Companies 3/,2013-05-31,,,FinComps
4.  Finance Companies 3/,2013-06-30,,,FinComps
4.  Finance Companies 3/,2013-07-31,,,FinComps
4.  Finance Companies 3/,2013-08-31,,,FinComps
4.  Finance Companies 3/,2013-09-30,,,FinComps
4.  Finance Companies 3/,2013-10-31,,,FinComps
4.  Finance Companies 3/,2013-11-30,,,FinComps
4.  Finance Companies 3/,2013-12-31,,,FinComps
4.  Finance Companies 3/,2014-01-31,,,FinComps
4.  Finance Companies 3/,2014-02-28,,,FinComps
4.  Finance Companies 3/,2014-03-31,,,FinComps
4.  Finance Companies 3/,2014-04-30,,,FinComps
4.  Finance Companies 3/,2014-05-31,,,FinComps
4.  Finance Companies 3/,2014-06-30,,,FinComps
4.  Finance Companies 3/,2014-07-31,,,FinComps
4.  Finance Companies 3/,2014-08-31,,,FinComps
4.  Finance Companies 3/,2014-09-30,,,FinComps
4.  Finance Companies 3/,2014-10-31,,,FinComps
4.  Finance Companies 3/,2014-11-30,,,FinComps
4.  Finance Companies 3/,2014-12-31,,,FinComps
4.  Finance Companies 3/,2015-01-31,,,FinComps
4.  Finance Companies 3/,2015-02-28,,,FinComps
4.  Finance Companies 3/,2015-03-31,,,FinComps
4.  Finance Companies 3/,2015-04-30,,,FinComps
4.  Finance Companies 3/,2015-05-31,,,FinComps
4.  Finance Companies 3/,2015-06-30,,,FinComps
4.  Finance Companies 3/,2015-07-31,,,FinComps
4.  Finance Companies 3/,2015-08-31,,,FinComps
4.  Finance Companies 3/,2015-09-30,,,FinComps
4.  Finance Companies 3/,2015-10-31,,,FinComps
4.  Finance Companies 3/,2015-11-30,,,FinComps
4.  Finance Companies 3/,2015-12-31,,,FinComps
4.  Finance Companies 3/,2016-01-31,,,FinComps
4.  Finance Companies 3/,2016-02-29,,,FinComps
4.  Finance Companies 3/,2016-03-31,,,FinComps
4.  Finance Companies 3/,2016-04-30,,,FinComps
4.  Finance Companies 3/,2016-05-31,,,FinComps
4.  Finance Companies 3/,2016-06-30,,,FinComps
4.  Finance Companies 3/,2016-07-31,,,FinComps
4.  Finance Companies 3/,2016-08-31,,,FinComps
4.  Finance Companies 3/,2016-09-30,,,FinComps
4.  Finance Companies 3/,2016-10-31,,,FinComps
4.  Finance Companies 3/,2016-11-30,,,FinComps
4.  Finance Companies 3/,2016-12-31,,,FinComps
4.  Finance Companies 3/,2017-01-31,,,FinComps
4.  Finance Companies 3/,2017-02-28,,,FinComps
4.  Finance Companies 3/,2017-03-31,,,FinComps
4.  Finance Companies 3/,2017-04-30,,,FinComps
4.  Finance Companies 3/,2017-05-31,,,FinComps
4.  Finance Companies 3/,2017-06-30,,,FinComps
4.  Finance Companies 3/,2017-07-31,,,FinComps
4.  Finance Companies 3/,2017-08-31,,,FinComps
4.  Finance Companies 3/,2017-09-30,,,FinComps
4.  Finance Companies 3/,2017-10-31,,,FinComps
4.  Finance Companies 3/,2017-11-30,,,FinComps
4.  Finance Companies 3/,2017-12-31,,,FinComps
4.  Finance Companies 3/,2018-01-31,,,FinComps
4.  Finance Companies 3/,2018-02-28,,,FinComps
4.  Finance Companies 3/,2018-03-31,,,FinComps
4.  Finance Companies 3/,2018-04-30,,,FinComps
4.  Finance Companies 3/,2018-05-31,,,FinComps
4.  Finance Companies 3/,2018-06-30,,,FinComps
4.  Finance Companies 3/,2018-07-31,,,FinComps
4.  Finance Companies 3/,2018-08-31,,,FinComps
4.  Finance Companies 3/,2018-09-30,,,FinComps
4.  Finance Companies 3/,2018-10-31,,,FinComps
4.  Finance Companies 3/,2018-11-30,,,FinComps
4.  Finance Companies 3/,2018-12-31,,,FinComps
4.  Finance Companies 3/,2019-01-31,,,FinComps
4.  Finance Companies 3/,2019-02-28,,,FinComps
4.  Finance Companies 3/,2019-03-31,,,FinComps
4.  Finance Companies 3/,2019-04-30,,,FinComps
4.  Finance Companies 3/,2019-05-31,,,FinComps
4.  Finance Companies 3/,2019-06-30,,,FinComps
4.  Finance Companies 3/,2019-07-31,,,FinComps
4.  Finance Companies 3/,2019-08-31,,,FinComps
4.  Finance Companies 3/,2019-09-30,,,FinComps
4.  Finance Companies 3/,2019-10-31,,,FinComps
4.  Finance Companies 3/,2019-11-30,,,FinComps
4.  Finance Companies 3/,2019-12-31,,,FinComps
5.  Total Financial Institutions (3+4),2006-12-31,0.0412,236402.0,FinInst
5.  Total Financial Institutions (3+4),2007-01-31,0.0412,236402.0,FinInst
5.  Total Financial Institutions (3+4),2007-02-28,0.0412,236402.0,FinInst
5.  Total Financial Institutions (3+4),2007-03-31,0.0417,240023.0,FinInst
5.  Total Financial Institutions (3+4),2007-04-30,0.0417,240023.0,FinInst
5.  Total Financial Institutions (3+4),2007-05-31,0.0417,240023.0,FinInst
5.  Total Financial Institutions (3+4),2007-06-30,0.044000000000000004,254346.0,FinInst
5.  Total Financial Institutions (3+4),2007-07-31,0.044000000000000004,254346.0,FinInst
5.  Total Financial Institutions (3+4),2007-08-31,,,FinInst
5.  Total Financial Institutions (3+4),2007-09-30,0.0443,260440.0,FinInst
5.  Total Financial Institutions (3+4),2007-10-31,,,FinInst
5.  Total Financial Institutions (3+4),2007-11-30,,,FinInst
5.  Total Financial Institutions (3+4),2007-12-31,0.0395,237695.0,FinInst
5.  Total Financial Institutions (3+4),2008-01-31,,,FinInst
5.  Total Financial Institutions (3+4),2008-02-29,,,FinInst
5.  Total Financial Institutions (3+4),2008-03-31,0.0375,249416.0,FinInst
5.  Total Financial Institutions (3+4),2008-04-30,,,FinInst
5.  Total Financial Institutions (3+4),2008-05-31,,,FinInst
5.  Total Financial Institutions (3+4),2008-06-30,0.034300000000000004,231895.0,FinInst
5.  Total Financial Institutions (3+4),2008-07-31,,,FinInst
5.  Total Financial Institutions (3+4),2008-08-31,,,FinInst
5.  Total Financial Institutions (3+4),2008-09-30,0.0329,229763.0,FinInst
5.  Total Financial Institutions (3+4),2008-10-31,,,FinInst
5.  Total Financial Institutions (3+4),2008-11-30,,,FinInst
5.  Total Financial Institutions (3+4),2008-12-31,0.029300000000000003,217239.0,FinInst
5.  Total Financial Institutions (3+4),2009-01-31,,,FinInst
5.  Total Financial Institutions (3+4),2009-02-28,,,FinInst
5.  Total Financial Institutions (3+4),2009-03-31,0.031,230153.0,FinInst
5.  Total Financial Institutions (3+4),2009-04-30,,,FinInst
5.  Total Financial Institutions (3+4),2009-05-31,,,FinInst
5.  Total Financial Institutions (3+4),2009-06-30,0.030600000000000002,224413.0,FinInst
5.  Total Financial Institutions (3+4),2009-07-31,,,FinInst
5.  Total Financial Institutions (3+4),2009-08-31,,,FinInst
5.  Total Financial Institutions (3+4),2009-09-30,0.029500000000000002,218276.0,FinInst
5.  Total Financial Institutions (3+4),2009-10-31,,,FinInst
5.  Total Financial Institutions (3+4),2009-11-30,,,FinInst
5.  Total Financial Institutions (3+4),2009-12-31,0.0268,205057.0,FinInst
5.  Total Financial Institutions (3+4),2010-01-31,,,FinInst
5.  Total Financial Institutions (3+4),2010-02-28,,,FinInst
5.  Total Financial Institutions (3+4),2010-03-31,,,FinInst
5.  Total Financial Institutions (3+4),2010-04-30,,,FinInst
5.  Total Financial Institutions (3+4),2010-05-31,,,FinInst
5.  Total Financial Institutions (3+4),2010-06-30,,,FinInst
5.  Total Financial Institutions (3+4),2010-07-31,,,FinInst
5.  Total Financial Institutions (3+4),2010-08-31,,,FinInst
5.  Total Financial Institutions (3+4),2010-09-30,,,FinInst
5.  Total Financial Institutions (3+4),2010-10-31,,,FinInst
5.  Total Financial Institutions (3+4),2010-11-30,,,FinInst
5.  Total Financial Institutions (3+4),2010-12-31,,,FinInst
5.  Total Financial Institutions (3+4),2011-01-31,,,FinInst
5.  Total Financial Institutions (3+4),2011-02-28,,,FinInst
5.  Total Financial Institutions (3+4),2011-03-31,,,FinInst
5.  Total Financial Institutions (3+4),2011-04-30,,,FinInst
5.  Total Financial Institutions (3+4),2011-05-31,,,FinInst
5.  Total Financial Institutions (3+4),2011-06-30,,,FinInst
5.  Total Financial Institutions (3+4),2011-07-31,,,FinInst
5.  Total Financial Institutions (3+4),2011-08-31,,,FinInst
5.  Total Financial Institutions (3+4),2011-09-30,,,FinInst
5.  Total Financial Institutions (3+4),2011-10-31,,,FinInst
5.  Total Financial Institutions (3+4),2011-11-30,,,FinInst
5.  Total Financial Institutions (3+4),2011-12-31,,,FinInst
5.  Total Financial Institutions (3+4),2012-01-31,,,FinInst
5.  Total Financial Institutions (3+4),2012-02-29,,,FinInst
5.  Total Financial Institutions (3+4),2012-03-31,,,FinInst
5.  Total Financial Institutions (3+4),2012-04-30,,,FinInst
5.  Total Financial Institutions (3+4),2012-05-31,,,FinInst
5.  Total Financial Institutions (3+4),2012-06-30,,,FinInst
5.  Total Financial Institutions (3+4),2012-07-31,,,FinInst
5.  Total Financial Institutions (3+4),2012-08-31,,,FinInst
5.  Total Financial Institutions (3+4),2012-09-30,,,FinInst
5.  Total Financial Institutions (3+4),2012-10-31,,,FinInst
5.  Total Financial Institutions (3+4),2012-11-30,,,FinInst
5.  Total Financial Institutions (3+4),2012-12-31,,,FinInst
5.  Total Financial Institutions (3+4),2013-01-31,,,FinInst
5.  Total Financial Institutions (3+4),2013-02-28,,,FinInst
5.  Total Financial Institutions (3+4),2013-03-31,,,FinInst
5.  Total Financial Institutions (3+4),2013-04-30,,,FinInst
5.  Total Financial Institutions (3+4),2013-05-31,,,FinInst
5.  Total Financial Institutions (3+4),2013-06-30,,,FinInst
5.  Total Financial Institutions (3+4),2013-07-31,,,FinInst
5.  Total Financial Institutions (3+4),2013-08-31,,,FinInst
5.  Total Financial Institutions (3+4),2013-09-30,,,FinInst
5.  Total Financial Institutions (3+4),2013-10-31,,,FinInst
5.  Total Financial Institutions (3+4),2013-11-30,,,FinInst
5.  Total Financial Institutions (3+4),2013-12-31,,,FinInst
5.  Total Financial Institutions (3+4),2014-01-31,,,FinInst
5.  Total Financial Institutions (3+4),2014-02-28,,,FinInst
5.  Total Financial Institutions (3+4),2014-03-31,,,FinInst
5.  Total Financial Institutions (3+4),2014-04-30,,,FinInst
5.  Total Financial Institutions (3+4),2014-05-31,,,FinInst
5.  Total Financial Institutions (3+4),2014-06-30,,,FinInst
5.  Total Financial Institutions (3+4),2014-07-31,,,FinInst
5.  Total Financial Institutions (3+4),2014-08-31,,,FinInst
5.  Total Financial Institutions (3+4),2014-09-30,,,FinInst
5.  Total Financial Institutions (3+4),2014-10-31,,,FinInst
5.  Total Financial Institutions (3+4),2014-11-30,,,FinInst
5.  Total Financial Institutions (3+4),2014-12-31,,,FinInst
5.  Total Financial Institutions (3+4),2015-01-31,,,FinInst
5.  Total Financial Institutions (3+4),2015-02-28,,,FinInst
5.  Total Financial Institutions (3+4),2015-03-31,,,FinInst
5.  Total Financial Institutions (3+4),2015-04-30,,,FinInst
